,Group_NR,Question,Sentence,Answer,Label,Similarity_score
66,8,how old was britney spears when she recorded hit me baby one more time,sixteen,spear performed   baby one time  number live appearance concert tour,0,0.02802011
67,8,how old was britney spears when she recorded hit me baby one more time,sixteen,encore  baby one time tour 1999 dream within dream tour 2001 spear also performed remixed version song oops ,0,0.01736490
68,8,how old was britney spears when she recorded hit me baby one more time,sixteen,world tour 2000 onyx hotel tour 2004 m+m s tour 2007 circus starring britney spear 2009 femme fatale tour 2011,0,0.06272011
69,8,how old was britney spears when she recorded hit me baby one more time,sixteen, baby one time nominated grammy award best female pop vocal performance included list blender rolling stone vh1,0,0.09431890
70,8,how old was britney spears when she recorded hit me baby one more time,sixteen,noted redefining sound late 1990s music,0,0.05093252
71,8,how old was britney spears when she recorded hit me baby one more time,sixteen,spear named   baby one time  one favorite song career,0,0.05285952
72,8,how old was britney spears when she recorded hit me baby one more time,sixteen,also final song played bbc s music programme top pop,0,-0.01318857
73,9,how old was sue lyon when she made lolita,fourteen,lolita 1962 comedydrama film stanley kubrick based classic novel title vladimir nabokov centre around middleaged man becomes obsessed teenage girl,0,0.06631403
74,9,how old was sue lyon when she made lolita,fourteen,film star james mason humbert humbert sue lyon dolores haze lolita shelley winter charlotte haze peter seller clare quilty,0,0.10631403
75,9,how old was sue lyon when she made lolita,fourteen,due mpaa s restriction time film toned provocative aspect novel sometimes leaving much audience s imagination,0,0.06637220
76,9,how old was sue lyon when she made lolita,fourteen,actress played lolita sue lyon fourteen time filming,1,0.18480682
77,9,how old was sue lyon when she made lolita,fourteen,kubrick later commented realized severe censorship limitation going probably never would made film,0,0.06482308
78,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,cholera infection small intestine caused bacterium vibrio cholerae,0,0.38416836
79,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,main symptom watery diarrhea vomiting,0,0.48667157
80,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,1,0.99999988
81,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,severity diarrhea vomiting lead rapid dehydration electrolyte imbalance death case,0,0.36714235
82,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,primary treatment oral rehydration therapy typically oral rehydration solution replace water electrolyte,0,0.19562030
83,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,tolerated provide improvement fast enough intravenous fluid also used,0,0.22218433
84,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,antibacterial drug beneficial severe disease shorten duration severity,0,0.18793595
85,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,"worldwide affect 35 million people cause 100,000130,000 death year",0,0.07927249
86,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,cholera one earliest infection studied epidemiological method,0,0.33621833
87,11,how old is zsa zsa gabor's daughter,67 year,sari gabor born 6 february 1917 known zsa zsa gabor hungarian born american actress acted supporting role movie broadway occasionally television,0,0.10761713
88,12,how old is zsa zsa gabor's daughter,68 year,gabor also socialite,0,0.09177965
89,13,how old is zsa zsa gabor's daughter,69 year,began stage career vienna age 15 crowned miss hungary 1936,0,0.08715583
90,14,how old is zsa zsa gabor's daughter,70 year,emigrated united state 1941 became soughtafter actress  european flair style  personality  exuded charm grace ,0,0.05376953
91,15,how old is zsa zsa gabor's daughter,71 year,first movie role supporting actress lovely look,0,-0.01426217
92,16,how old is zsa zsa gabor's daughter,72 year,later acted married,0,0.29960409
93,17,how old is zsa zsa gabor's daughter,73 year,played one leading role moulin rouge 1952 directed john huston described  creditable  actress,0,-0.01980856
94,18,how old is zsa zsa gabor's daughter,74 year,besides film television appearance best known nine husband including hotel magnate conrad hilton actor george sander,0,0.07647906
95,19,how old is zsa zsa gabor's daughter,75 year,stated  men always liked always liked men,0,0.10387132
96,20,how old is zsa zsa gabor's daughter,76 year,like mannish man man know talk treat woman  man muscle ,0,0.05278866
97,21,how bruce lee died,brain edema,bruce lee traditional Li Xiao Long born lee junfan 27 november 1940  20 july 1973 chinese american martial artist actor martial art instructor philosopher filmmaker,0,0.05754603
98,21,how bruce lee died,brain edema,founder jeet kune lee son cantonese opera star lee hoichuen,0,0.04645205
99,21,how bruce lee died,brain edema,widely considered commentator critic medium martial artist one influential martial artist time pop culture icon 20th century,0,0.04291808
100,21,how bruce lee died,brain edema,often credited helping change way asian presented american film,0,-0.00603636
101,21,how bruce lee died,brain edema,lee born chinatown san francisco 27 november 1940 parent hong kong raised kowloon family late teen,0,0.01063780
102,21,how bruce lee died,brain edema,introduced film industry father appeared several film child actor,0,-0.05497718
103,21,how bruce lee died,brain edema,lee moved united state age 18 receive higher education time began teaching martial art,0,0.13344364
104,21,how bruce lee died,brain edema,hong kong hollywood produced film elevated traditional hong kong martial art film new level popularity acclaim sparking surge interest chinese martial art west 1970s,0,0.00667875
105,21,how bruce lee died,brain edema,direction tone film changed influenced martial art martial art film hong kong rest world,0,0.07644163
106,21,how bruce lee died,brain edema,noted role five featurelength film lo wei s big bos 1971 fist fury 1972 way dragon 1972 directed written lee warner brother enter dragon 1973 game death 1978 directed robert clouse,0,0.01000822
107,21,how bruce lee died,brain edema,lee became iconic figure known throughout world particularly among chinese portrayed chinese nationalism film,0,-0.03144717
108,21,how bruce lee died,brain edema,initially trained wing chun later rejected welldefined martial art style favouring instead use technique various source spirit personal martial art philosophy dubbed jeet kune way intercepting fist,0,0.07818851
109,21,how bruce lee died,brain edema,lee held dual citizenship hong kong united state,0,0.00603675
110,21,how bruce lee died,brain edema,died kowloon tong 20 july 1973 age 32,0,0.10552996
111,22,how did anne frank die,typhus,annelies  anne  marie frank 12 june 1929early march 1945 one discussed jewish victim holocaust,0,0.16289338
112,22,how did anne frank die,typhus,diary basis several play film,0,0.07854390
113,22,how did anne frank die,typhus,born city frankfurt main weimar germany lived life near amsterdam netherlands,0,0.06668711
114,22,how did anne frank die,typhus,born german national frank lost citizenship 1941,0,0.03403521
115,22,how did anne frank die,typhus,gained international fame posthumously diary published,0,0.05669896
116,22,how did anne frank die,typhus,document experience hiding german occupation netherlands world war ii,0,0.04925047
117,22,how did anne frank die,typhus,frank family moved germany amsterdam 1933 year nazi gained control germany,0,0.09829567
118,22,how did anne frank die,typhus,beginning 1940 trapped amsterdam nazi occupation netherlands,0,0.12074849
119,22,how did anne frank die,typhus,persecution jewish population increased july 1942 family went hiding hidden room anne s father otto frank s office building,0,0.10297602
120,22,how did anne frank die,typhus,two year group betrayed transported concentration camp,0,0.14226247
121,22,how did anne frank die,typhus,anne frank sister margot eventually transferred bergenbelsen concentration camp died typhus march 1945,1,0.31896466
122,22,how did anne frank die,typhus,otto frank survivor family returned amsterdam war find anne s diary saved effort led publication 1947,0,0.05347851
123,22,how did anne frank die,typhus,translated original dutch first published english 1952 diary young girl,0,0.01261394
124,22,how did anne frank die,typhus,since translated many language,0,0.16759142
125,22,how did anne frank die,typhus,diary given anne 13th birthday chronicle life 12 june 1942 1 august 1944,0,0.13031626
126,23,how old is kurt cobain's daughter,29 year old,kurt s signature,0,0.16504371
127,23,how old is kurt cobain's daughter,29 year old,kurt donald cobain february 20 1967  april 5 1994 american musician artist best known lead singer guitarist primary songwriter grunge band nirvana,0,0.16433375
128,23,how old is kurt cobain's daughter,29 year old,cobain formed nirvana krist novoselic aberdeen washington 1985 established part seattle music scene debut album bleach released independent record label sub pop 1989,0,0.09735927
129,23,how old is kurt cobain's daughter,29 year old,signing major label dgc record band found breakthrough success  smell like teen spirit  second album nevermind 1991,0,0.01597900
130,23,how old is kurt cobain's daughter,29 year old,following success nevermind nirvana labeled  flagship band  generation x cobain hailed  spokesman generation ,0,0.05330293
131,23,how old is kurt cobain's daughter,29 year old,cobain however often uncomfortable frustrated believing message artistic vision misinterpreted public personal issue often subject medium attention,0,0.10255635
132,23,how old is kurt cobain's daughter,29 year old,challenged nirvana s audience final studio album utero 1993,0,0.09908520
133,23,how old is kurt cobain's daughter,29 year old,last year life cobain struggled heroin addiction illness depression,0,0.16325766
134,23,how old is kurt cobain's daughter,29 year old,also difficulty coping fame public image professional lifelong personal pressure surrounding wife musician courtney love,0,0.19157577
135,23,how old is kurt cobain's daughter,29 year old,april 8 1994 cobain found dead home seattle victim officially ruled suicide selfinflicted shotgun wound head,0,0.05981401
136,23,how old is kurt cobain's daughter,29 year old,circumstance death age 27 become topic public fascination debate,0,0.27856499
137,23,how old is kurt cobain's daughter,29 year old,since debut nirvana cobain songwriter sold 25 million album you.s . 50 million worldwide,0,0.16848069
138,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,radial engine timing cam mechanism,0,0.49388245
139,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,click full resolution animation,0,0.07176746
140,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,radial engine biplane,0,0.50519621
141,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,master rod upright slave balance tworow fourteencylinder pratt whitney twin wasp,0,0.18138430
142,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,1,1.00000036
143,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,resembles stylized star viewed front called  star engine  german sternmotor language,0,0.19211391
144,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,radial configuration commonly used aircraft engine turbine engine became predominant,0,0.57674468
145,25,how deep can be drill for deep underwater,500 foot,deepwater drilling process oil gas exploration production depth 500 foot,1,0.34453708
146,25,how deep can be drill for deep underwater,500 foot,definition approximately 600 deepwater well gulf mexico,0,0.23262201
147,25,how deep can be drill for deep underwater,500 foot,economically infeasible many year rising oil price company investing area,0,0.02180454
148,25,how deep can be drill for deep underwater,500 foot,major company working sector include diamond offshore transocean baker hughes,0,0.12690109
149,25,how deep can be drill for deep underwater,500 foot,basically two kind mobile deepwater drilling rig semisubmersible drilling rig drillships,0,0.17003621
150,25,how deep can be drill for deep underwater,500 foot,drilling also performed fixedposition installation floating spar platform tensionleg platform,0,0.07112864
151,25,how deep can be drill for deep underwater,500 foot,recent industry analysis estimated total expenditure global deepwater infrastructure market reach 145bn 2011,0,0.13339591
152,25,how deep can be drill for deep underwater,500 foot, oil accessible land shallow water,0,0.14823323
153,25,how deep can be drill for deep underwater,500 foot,find oil deposit buried deep ocean floor.   using sonic equipment oil company determine drilling site likely produce oil,0,0.08046053
154,25,how deep can be drill for deep underwater,500 foot,use mobile offshore drilling unit modu dig initial well,0,0.09777845
155,25,how deep can be drill for deep underwater,500 foot,unit converted production rig meaning switch drilling oil capturing oil found,0,0.07322945
156,25,how deep can be drill for deep underwater,500 foot,time oil company replace modu permanent oil production rig capture oil.   modu s job drill ocean s floor find oil deposit,0,0.10558000
157,25,how deep can be drill for deep underwater,500 foot,part drill extends deck water called riser,0,0.13639934
158,25,how deep can be drill for deep underwater,500 foot,riser allows drilling fluid move floor rig,0,0.05529415
159,25,how deep can be drill for deep underwater,500 foot,engineer lower drill string  series pipe designed drill oil deposit  riser ,0,0.12579045
160,25,how deep can be drill for deep underwater,500 foot, expansion deepwater drilling happening despite accident offshore field  ,0,0.08462884
161,25,how deep can be drill for deep underwater,500 foot,2010 large explosion occurred killing 11 worker spilling million gallon oil gulf mexico bp oil rig drilling deep water,0,0.11803245
162,25,how deep can be drill for deep underwater,500 foot,  despite risk deepwater drilling trend spreading mediterranean coast east africa string huge discovery natural gas ,0,0.01834751
163,25,how deep can be drill for deep underwater,500 foot, reason resumption drilling analyst say continuing high demand energy worldwide ,0,0.03582286
164,25,how deep can be drill for deep underwater,500 foot,america need oil almost necessary face high risk come deepwater drilling order american continue carry everyday life,0,0.00727336
165,25,how deep can be drill for deep underwater,500 foot, energy department recently projected gulf oil production would expand 2011 level 1.3 million barrel day still nearly quarter total domestic production 2 million barrel day 2020 ,0,0.10110112
166,25,how deep can be drill for deep underwater,500 foot,deepwater drilling affect environment negative positive way,0,-0.03094199
167,25,how deep can be drill for deep underwater,500 foot,although deepwater drilling rarely cause oil spill still hazardous possible outcome,0,0.02593284
168,25,how deep can be drill for deep underwater,500 foot,oil spill result oil sinking bottom ocean smothering plant life leaving fish without food shelter survive,0,0.08247837
169,25,how deep can be drill for deep underwater,500 foot,hand deepwater drilling effect environment positive way,0,0.06822008
170,25,how deep can be drill for deep underwater,500 foot,time deepwater oil well use anymore plant grow around well making cave cavern like shelter ideal animal thrive,0,0.07407402
171,25,how deep can be drill for deep underwater,500 foot,deepwater drilling also let u u see depth ocean floor hardly ever seen,0,0.15833560
172,25,how deep can be drill for deep underwater,500 foot, camera rover bottom well record footage take photo rare fish natural habitat giving scientist look animal rarely seen  chevron corporation ,0,0.13734648
173,26,how old was monica lewinsky during the affair,monica samille lewinsky born july 23 1973 american woman united state president bill clinton admitted `` improper relationship `` worked white house 1995 1996,monica samille lewinsky born july 23 1973 american woman united state president bill clinton admitted  improper relationship  worked white house 1995 1996,1,0.98140711
174,26,how old was monica lewinsky during the affair,monica samille lewinsky born july 23 1973 american woman united state president bill clinton admitted `` improper relationship `` worked white house 1995 1996,affair repercussion included clinton s impeachment became known lewinsky scandal,0,0.52854973
175,27,how long was frank sinatra famous,early mid-1940s,francis albert  frank  sinatra december 12 1915  may 14 1998 american singer film actor,0,0.20454758
176,27,how long was frank sinatra famous,early mid-1940s,beginning musical career swing era harry james tommy dorsey sinatra found unprecedented success solo artist early mid1940s signed columbia record 1943,1,0.32333961
177,27,how long was frank sinatra famous,early mid-1940s,idol  bobby soxers  released first album voice frank sinatra 1946,0,0.24236906
178,27,how long was frank sinatra famous,early mid-1940s,professional career stalled 1950s reborn 1953 academy award best supporting actor performance eternity,0,0.21528868
179,27,how long was frank sinatra famous,early mid-1940s,signed capitol record 1953 released several critically lauded album wee small hour song swingin lover come fly lonely nice n easy,0,0.16558862
180,27,how long was frank sinatra famous,early mid-1940s,sinatra left capitol found record label reprise record 1961 finding success album ringadingding sinatra sand francis albert sinatra antonio carlos jobim toured internationally founding member rat pack fraternized celebrity statesman including john f. kennedy,0,0.25602514
181,27,how long was frank sinatra famous,early mid-1940s,sinatra turned 50 1965 recorded retrospective september year starred emmy winning television special frank sinatra man music scored hit  stranger night   way ,0,0.13512549
182,27,how long was frank sinatra famous,early mid-1940s,sale music dwindling appearing several poorly received film sinatra retired first time 1971,0,0.20962097
183,27,how long was frank sinatra famous,early mid-1940s,two year later however came retirement 1973 recorded several album scoring top 40 hit  theme new york new york  1980,0,0.25797391
184,27,how long was frank sinatra famous,early mid-1940s,using la vega show home base toured within united state internationally short time death 1998,0,0.14070100
185,27,how long was frank sinatra famous,early mid-1940s,sinatra also forged highly successful career film actor,0,0.14259854
186,27,how long was frank sinatra famous,early mid-1940s,winning best supporting actor 1953 also garnered nomination best actor man golden arm critical acclaim performance manchurian candidate,0,0.09793398
187,27,how long was frank sinatra famous,early mid-1940s,also starred musical high society pal joey guy doll town,0,0.17301890
188,27,how long was frank sinatra famous,early mid-1940s,sinatra honored kennedy center honor 1983 awarded presidential medal freedom ronald reagan 1985 congressional gold medal 1997,0,0.08924533
189,27,how long was frank sinatra famous,early mid-1940s,recipient eleven grammy award including grammy trustee award grammy legend award grammy lifetime achievement award,0,-0.07608540
190,27,how long was frank sinatra famous,early mid-1940s,sinatra also one world  bestselling artist time sold 150 million copy worldwide,0,0.15011494
191,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody bind specific antigen interaction similar lock key,0,0.55495167
192,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody ab also known immunoglobulin ig large yshaped protein produced bcells used immune system identify neutralize foreign object bacteria virus,1,0.54282159
193,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody recognizes unique part foreign target called antigen,1,0.59190691
194,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,tip   antibody contains paratope structure analogous lock specific one particular epitope similarly analogous key antigen allowing two structure bind together precision,1,0.45661372
195,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,1,0.99999982
196,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,production antibody main function humoral immune system,0,0.44852144
197,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody secreted type white blood cell called plasma cell,0,0.32752675
198,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody occur two physical form soluble form secreted cell membrane bound form attached surface b cell referred b cell receptor bcr,0,0.46894252
199,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,bcr found surface b cell facilitates activation cell subsequent differentiation either antibody factory called plasma cell memory b cell survive body remember antigen b cell respond faster upon future exposure,0,0.41668263
200,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,case interaction b cell helper cell necessary produce full activation b cell therefore antibody generation following antigen binding,0,0.53002286
201,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,soluble antibody released blood tissue fluid well many secretion continue survey invading microorganism,0,0.50189030
202,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody glycoprotein belonging immunoglobulin superfamily term antibody immunoglobulin often used interchangeably,0,0.35695997
203,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody typically made basic structural unit  each two large heavy chain two small light chain,0,0.40982413
