,Group_NR,Question,Sentence,Answer,Label,Similarity_score
17,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,bmc software inc. american company specializing business service management bsm software,0,0.3645785714628151
18,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,headquartered houston texas bmc develops market sell software used multiple function including service management data center automation performance management virtualization lifecycle management cloud computing management,0,0.4409887116001197
19,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,name `` bmc `` taken surname three founder -- scott boulette john moore dan cloer,0,0.185154580147189
20,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,"employing 6,000 bmc often credited pioneering bsm concept way help better align operation business need",1,0.39099260856410806
21,4,"how big is bmc software in houston, tx",annual revenue 2.1 billion,2011 company recorded annual revenue 2.1 billion making 20 largest software company term revenue year,1,0.8633768557724043
22,5,how much is 1 tablespoon of water,20 ml,tablespoon capacity 15 ml,1,0.8074883234847967
23,5,how much is 1 tablespoon of water,20 ml,measuring spoon,0,0.27990087603125086
24,5,how much is 1 tablespoon of water,20 ml,u part canada tablespoon largest type spoon used eating bowl,0,0.3025648825396108
25,5,how much is 1 tablespoon of water,20 ml,uk europe commonwealth country tablespoon type large spoon usually used serving,0,0.29636878446549575
26,5,how much is 1 tablespoon of water,20 ml,country tablespoon serving spoon nearest equivalent u tablespoon either dessert spoon soup spoon,0,0.3280599099455237
27,5,how much is 1 tablespoon of water,20 ml,tablespoonful nominally capacity one tablespoon commonly used measure volume cooking,0,0.3571321944182775
28,5,how much is 1 tablespoon of water,20 ml,abbreviated tb tb tbsp tblsp tblspn,0,0.23892317619177952
29,5,how much is 1 tablespoon of water,20 ml,capacity ordinary tablespoon regulated law subject considerable variation,0,0.23080763816280273
30,5,how much is 1 tablespoon of water,20 ml,usa one tablespoon measurement unit approximately 15 ml capacity actual tablespoon dining utensil range 7 ml 14 ml,1,0.7607047237705253
31,5,how much is 1 tablespoon of water,20 ml,australia one tablespoon measurement unit 20 ml,1,0.6978259385809535
32,6,how much are the harry potter movies worth,excess 15 billion,harry potter series seven fantasy novel written british author j. k. rowling,0,0.17155375307231674
33,6,how much are the harry potter movies worth,excess 15 billion,book chronicle adventure wizard harry potter friend ronald weasley hermione granger student hogwarts school witchcraft wizardry,0,0.03447149599907489
34,6,how much are the harry potter movies worth,excess 15 billion,main story arc concern harry 's quest overcome dark wizard lord voldemort whose aim become immortal conquer wizarding world subjugate non-magical people destroy stand way especially harry potter,0,0.26931637989433527
35,6,how much are the harry potter movies worth,excess 15 billion,since release first novel harry potter philosopher 's stone 30 june 1997 book gained immense popularity critical acclaim commercial success worldwide,0,0.43072209687190666
36,6,how much are the harry potter movies worth,excess 15 billion,series also share criticism including concern increasingly dark tone,0,0.3981221549442993
37,6,how much are the harry potter movies worth,excess 15 billion,book series sold 450 million copy making best-selling book series history translated 67 language,0,0.4799283792193122
38,6,how much are the harry potter movies worth,excess 15 billion,last four book consecutively set record fastest-selling book history,0,0.4291204380595081
39,6,how much are the harry potter movies worth,excess 15 billion,series many genre including fantasy coming age element mystery thriller adventure romance many cultural meaning reference,0,0.30299789374157904
40,6,how much are the harry potter movies worth,excess 15 billion,according rowling main theme death,0,0.2760991450189491
41,6,how much are the harry potter movies worth,excess 15 billion,also many theme series prejudice corruption,0,0.3055328645863266
42,6,how much are the harry potter movies worth,excess 15 billion,initial major publisher book bloomsbury united kingdom scholastic press united state,0,0.2821307699046189
43,6,how much are the harry potter movies worth,excess 15 billion,book since published many publisher worldwide,0,0.35453304880136144
44,6,how much are the harry potter movies worth,excess 15 billion,book seventh book split two part made eight-part film series warner bros. picture highest-grossing film series time,0,0.38389561139508
45,6,how much are the harry potter movies worth,excess 15 billion,series also originated much tie-in merchandise making harry potter brand worth excess 15 billion,1,0.6570103167531333
46,6,how much are the harry potter movies worth,excess 15 billion,also due success book film harry potter used theme park wizarding world harry potter universal park resort 's island adventure,0,0.2724084217699787
47,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rs-68 tested nasa 's stennis space center,0,0.4861869651991459
48,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,nearly transparent exhaust due engine 's exhaust mostly superheated steam water vapor propellant hydrogen oxygen,0,0.812268769689514
49,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,viking 5c rocket engine,0,0.5886567996266499
50,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine simply `` rocket `` jet engine us stored propellant mass forming high speed propulsive jet,1,0.8986591092147413
51,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine reaction engine obtain thrust accordance newton 's third law,0,0.7712062580216597
52,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,since need external material form jet rocket engine used spacecraft propulsion well terrestrial us missile,0,0.8426452650121964
53,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine internal combustion engine although non-combusting form also exist,0,0.8040646566178309
54,7,how a rocket engine works,jet engine us stored propellant mass forming high speed propulsive jet,rocket engine group highest exhaust velocity far lightest least propellant efficient type jet engine,0,0.887616869176281
55,8,how old was britney spears when she recorded hit me baby one more time,sixteen,... baby one time song american recording artist britney spear,0,0.37082302076942686
56,8,how old was britney spears when she recorded hit me baby one more time,sixteen,served spear 's debut single title track debut studio album ... baby one time 1999,0,0.3579187095458907
57,8,how old was britney spears when she recorded hit me baby one more time,sixteen,written max martin produced martin ramus `` ... baby one time `` released september 30 1998 jive record,0,0.35827305053889275
58,8,how old was britney spears when she recorded hit me baby one more time,sixteen,recording sending demo tape unused song toni braxton spear signed multi-album deal jive,0,0.32120919411641996
59,8,how old was britney spears when she recorded hit me baby one more time,sixteen,... baby one time teen pop dance-pop song refers girl regret breaking boyfriend,0,0.35691657455072845
60,8,how old was britney spears when she recorded hit me baby one more time,sixteen,song received generally favorable review critic praised composition,0,0.26560440668459506
61,8,how old was britney spears when she recorded hit me baby one more time,sixteen,... baby one time attained global success reaching number one every country charted,0,0.442395148877038
62,8,how old was britney spears when she recorded hit me baby one more time,sixteen,also received numerous certification around world one best-selling single time 10 million copy sold,0,0.3917357245416557
63,8,how old was britney spears when she recorded hit me baby one more time,sixteen,accompanying music video directed nigel dick portrays spear student catholic high school start daydream singing dancing around school watching love interest afar,0,0.3799920149266332
64,8,how old was britney spears when she recorded hit me baby one more time,sixteen,music video later referenced music video `` seek amy `` 2008 spear 's fictional daughter dressed similar schoolgirl outfit wearing pink ribbon hair,0,0.3675668428252456
65,8,how old was britney spears when she recorded hit me baby one more time,sixteen,2010 music video `` ... baby one time `` voted third influential video history pop music poll held jam,0,0.3392113321189047
66,8,how old was britney spears when she recorded hit me baby one more time,sixteen,spear performed `` ... baby one time `` number live appearance concert tour,0,0.3630784469914424
67,8,how old was britney spears when she recorded hit me baby one more time,sixteen,encore ... baby one time tour 1999 dream within dream tour 2001 spear also performed remixed version song oops ...,0,0.35904980871524406
68,8,how old was britney spears when she recorded hit me baby one more time,sixteen,world tour 2000 onyx hotel tour 2004 m+m 's tour 2007 circus starring britney spear 2009 femme fatale tour 2011,0,0.2331235034288012
69,8,how old was britney spears when she recorded hit me baby one more time,sixteen,... baby one time nominated grammy award best female pop vocal performance included list blender rolling stone vh1,0,0.3780305177744749
70,8,how old was britney spears when she recorded hit me baby one more time,sixteen,noted redefining sound late 1990s music,0,0.2888148135547379
71,8,how old was britney spears when she recorded hit me baby one more time,sixteen,spear named `` ... baby one time `` one favorite song career,0,0.3597538081345505
72,8,how old was britney spears when she recorded hit me baby one more time,sixteen,also final song played bbc 's music programme top pop,0,0.31360414611975374
73,9,how old was sue lyon when she made lolita,fourteen,lolita 1962 comedy-drama film stanley kubrick based classic novel title vladimir nabokov centre around middle-aged man becomes obsessed teenage girl,0,0.35608938932008055
74,9,how old was sue lyon when she made lolita,fourteen,film star james mason humbert humbert sue lyon dolores haze lolita shelley winter charlotte haze peter seller clare quilty,0,0.15328120842333937
75,9,how old was sue lyon when she made lolita,fourteen,due mpaa 's restriction time film toned provocative aspect novel sometimes leaving much audience 's imagination,0,0.31605031098390385
76,9,how old was sue lyon when she made lolita,fourteen,actress played lolita sue lyon fourteen time filming,1,0.4780516783173689
77,9,how old was sue lyon when she made lolita,fourteen,kubrick later commented realized severe censorship limitation going probably never would made film,0,0.3375028536780804
78,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,cholera infection small intestine caused bacterium vibrio cholerae,0,0.5668161163761064
79,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,main symptom watery diarrhea vomiting,0,0.6610420742226368
80,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,1,1.0
81,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,severity diarrhea vomiting lead rapid dehydration electrolyte imbalance death case,0,0.7178184157300259
82,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,primary treatment oral rehydration therapy typically oral rehydration solution replace water electrolyte,0,0.7066263389979746
83,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,tolerated provide improvement fast enough intravenous fluid also used,0,0.7765115951463116
84,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,antibacterial drug beneficial severe disease shorten duration severity,0,0.6972416706389103
85,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,"worldwide affect 3-5 million people cause 100,000-130,000 death year",0,0.602511710652854
86,10,how are cholera and typhus transmitted and prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom,cholera one earliest infection studied epidemiological method,0,0.7162032780999799
87,11,how old is zsa zsa gabor's daughter,67 year,sari gabor born 6 february 1917 known zsa zsa gabor hungarian -born american actress acted supporting role movie broadway occasionally television,0,0.20474515912053443
88,12,how old is zsa zsa gabor's daughter,68 year,gabor also socialite,0,0.000554481843278627
89,13,how old is zsa zsa gabor's daughter,69 year,began stage career vienna age 15 crowned miss hungary 1936,0,0.5118731938175579
90,14,how old is zsa zsa gabor's daughter,70 year,emigrated united state 1941 became sought-after actress `` european flair style `` personality `` exuded charm grace ``,0,0.3459755896684946
91,15,how old is zsa zsa gabor's daughter,71 year,first movie role supporting actress lovely look,0,0.3248291869971091
92,16,how old is zsa zsa gabor's daughter,72 year,later acted married,0,0.39274781017429583
93,17,how old is zsa zsa gabor's daughter,73 year,played one leading role moulin rouge 1952 directed john huston described `` creditable `` actress,0,0.28927292154465695
94,18,how old is zsa zsa gabor's daughter,74 year,besides film television appearance best known nine husband including hotel magnate conrad hilton actor george sander,0,0.33035996520909744
95,19,how old is zsa zsa gabor's daughter,75 year,stated `` men always liked always liked men,0,0.3630312575057888
96,20,how old is zsa zsa gabor's daughter,76 year,like mannish man man know talk treat woman - man muscle ``,0,0.2787902291938556
97,21,how bruce lee died,brain edema,bruce lee traditional Li Xiao Long born lee jun-fan 27 november 1940 - 20 july 1973 chinese american martial artist actor martial art instructor philosopher filmmaker,0,0.1568938156732058
98,21,how bruce lee died,brain edema,founder jeet kune lee son cantonese opera star lee hoi-chuen,0,0.10225412796421571
99,21,how bruce lee died,brain edema,widely considered commentator critic medium martial artist one influential martial artist time pop culture icon 20th century,0,0.17552797501932438
100,21,how bruce lee died,brain edema,often credited helping change way asian presented american film,0,0.29266487543150393
101,21,how bruce lee died,brain edema,lee born chinatown san francisco 27 november 1940 parent hong kong raised kowloon family late teen,0,0.17057395732535005
102,21,how bruce lee died,brain edema,introduced film industry father appeared several film child actor,0,0.195103010654566
103,21,how bruce lee died,brain edema,lee moved united state age 18 receive higher education time began teaching martial art,0,0.2704608361284138
104,21,how bruce lee died,brain edema,hong kong hollywood -produced film elevated traditional hong kong martial art film new level popularity acclaim sparking surge interest chinese martial art west 1970s,0,0.21702819181611252
105,21,how bruce lee died,brain edema,direction tone film changed influenced martial art martial art film hong kong rest world,0,0.22651179939119429
106,21,how bruce lee died,brain edema,noted role five feature-length film lo wei 's big bos 1971 fist fury 1972 way dragon 1972 directed written lee warner brother enter dragon 1973 game death 1978 directed robert clouse,0,0.21582981483485703
107,21,how bruce lee died,brain edema,lee became iconic figure known throughout world particularly among chinese portrayed chinese nationalism film,0,0.25255604845264895
108,21,how bruce lee died,brain edema,initially trained wing chun later rejected well-defined martial art style favouring instead use technique various source spirit personal martial art philosophy dubbed jeet kune way intercepting fist,0,0.2655009943424854
109,21,how bruce lee died,brain edema,lee held dual citizenship hong kong united state,0,0.1825141552508782
110,21,how bruce lee died,brain edema,died kowloon tong 20 july 1973 age 32,0,0.18857951975081705
111,22,how did anne frank die,typhus,annelies `` anne `` marie frank 12 june 1929early march 1945 one discussed jewish victim holocaust,0,0.028314688143541978
112,22,how did anne frank die,typhus,diary basis several play film,0,-0.03459885703523693
113,22,how did anne frank die,typhus,born city frankfurt main weimar germany lived life near amsterdam netherlands,0,0.08503781225178174
114,22,how did anne frank die,typhus,born german national frank lost citizenship 1941,0,0.11630024404620434
115,22,how did anne frank die,typhus,gained international fame posthumously diary published,0,0.03856127674578457
116,22,how did anne frank die,typhus,document experience hiding german occupation netherlands world war ii,0,0.06743368429819704
117,22,how did anne frank die,typhus,frank family moved germany amsterdam 1933 year nazi gained control germany,0,0.10091537557929867
118,22,how did anne frank die,typhus,beginning 1940 trapped amsterdam nazi occupation netherlands,0,0.15014500673399894
119,22,how did anne frank die,typhus,persecution jewish population increased july 1942 family went hiding hidden room anne 's father otto frank 's office building,0,0.07413958896660332
120,22,how did anne frank die,typhus,two year group betrayed transported concentration camp,0,0.12673409205855884
121,22,how did anne frank die,typhus,anne frank sister margot eventually transferred bergen-belsen concentration camp died typhus march 1945,1,0.4330673384712386
122,22,how did anne frank die,typhus,otto frank survivor family returned amsterdam war find anne 's diary saved effort led publication 1947,0,0.10132348179265346
123,22,how did anne frank die,typhus,translated original dutch first published english 1952 diary young girl,0,0.022189308335977875
124,22,how did anne frank die,typhus,since translated many language,0,-0.0017036827882719345
125,22,how did anne frank die,typhus,diary given anne 13th birthday chronicle life 12 june 1942 1 august 1944,0,0.051274653688062596
126,23,how old is kurt cobain's daughter,29 year old,kurt 's signature,0,0.27395887449939105
127,23,how old is kurt cobain's daughter,29 year old,kurt donald cobain february 20 1967 - april 5 1994 american musician artist best known lead singer guitarist primary songwriter grunge band nirvana,0,0.4906278620780131
128,23,how old is kurt cobain's daughter,29 year old,cobain formed nirvana krist novoselic aberdeen washington 1985 established part seattle music scene debut album bleach released independent record label sub pop 1989,0,0.3926246407368122
129,23,how old is kurt cobain's daughter,29 year old,signing major label dgc record band found breakthrough success `` smell like teen spirit `` second album nevermind 1991,0,0.5127181718484951
130,23,how old is kurt cobain's daughter,29 year old,following success nevermind nirvana labeled `` flagship band `` generation x cobain hailed `` spokesman generation ``,0,0.3602111413682235
131,23,how old is kurt cobain's daughter,29 year old,cobain however often uncomfortable frustrated believing message artistic vision misinterpreted public personal issue often subject medium attention,0,0.38777099851644475
132,23,how old is kurt cobain's daughter,29 year old,challenged nirvana 's audience final studio album utero 1993,0,0.44002373214414997
133,23,how old is kurt cobain's daughter,29 year old,last year life cobain struggled heroin addiction illness depression,0,0.48794943763158477
134,23,how old is kurt cobain's daughter,29 year old,also difficulty coping fame public image professional lifelong personal pressure surrounding wife musician courtney love,0,0.4698405786323027
135,23,how old is kurt cobain's daughter,29 year old,april 8 1994 cobain found dead home seattle victim officially ruled suicide self-inflicted shotgun wound head,0,0.5690054282269168
136,23,how old is kurt cobain's daughter,29 year old,circumstance death age 27 become topic public fascination debate,0,0.5847253671062174
137,23,how old is kurt cobain's daughter,29 year old,since debut nirvana cobain songwriter sold 25 million album you.s . 50 million worldwide,0,0.6117786447879011
138,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,radial engine timing cam mechanism,0,0.8790002797978254
139,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,click full resolution animation,0,0.3880499307883994
140,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,radial engine biplane,0,0.7489335519054748
141,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,master rod upright slave balance two-row fourteen-cylinder pratt whitney twin wasp,0,0.6621365763879907
142,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,1,1.0
143,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,resembles stylized star viewed front called `` star engine `` german sternmotor language,0,0.5152614946595301
144,24,how are aircraft radial engines built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel,radial configuration commonly used aircraft engine turbine engine became predominant,0,0.8649098623918666
145,25,how deep can be drill for deep underwater,500 foot,deepwater drilling process oil gas exploration production depth 500 foot,1,0.5213352909175473
146,25,how deep can be drill for deep underwater,500 foot,definition approximately 600 deepwater well gulf mexico,0,0.5406062622721223
147,25,how deep can be drill for deep underwater,500 foot,economically infeasible many year rising oil price company investing area,0,0.4187309796231074
148,25,how deep can be drill for deep underwater,500 foot,major company working sector include diamond offshore transocean baker hughes,0,0.2996913074662289
149,25,how deep can be drill for deep underwater,500 foot,basically two kind mobile deepwater drilling rig semi-submersible drilling rig drillships,0,0.39752157942098015
150,25,how deep can be drill for deep underwater,500 foot,drilling also performed fixed-position installation floating spar platform tension-leg platform,0,0.46027781339692736
151,25,how deep can be drill for deep underwater,500 foot,recent industry analysis estimated total expenditure global deepwater infrastructure market reach 145bn 2011,0,0.357040476916304
152,25,how deep can be drill for deep underwater,500 foot,`` oil accessible land shallow water,0,0.4145406564167018
153,25,how deep can be drill for deep underwater,500 foot,find oil deposit buried deep ocean floor. `` ... using sonic equipment oil company determine drilling site likely produce oil,0,0.4854906991504822
154,25,how deep can be drill for deep underwater,500 foot,use mobile offshore drilling unit modu dig initial well,0,0.3786187862677735
155,25,how deep can be drill for deep underwater,500 foot,unit converted production rig meaning switch drilling oil capturing oil found,0,0.4398227189311979
156,25,how deep can be drill for deep underwater,500 foot,time oil company replace modu permanent oil production rig capture oil. `` ... modu 's job drill ocean 's floor find oil deposit,0,0.4313944000016074
157,25,how deep can be drill for deep underwater,500 foot,part drill extends deck water called riser,0,0.4708559661005628
158,25,how deep can be drill for deep underwater,500 foot,riser allows drilling fluid move floor rig,0,0.4536480363016886
159,25,how deep can be drill for deep underwater,500 foot,engineer lower drill string -- series pipe designed drill oil deposit -- riser ``,0,0.4832030595593559
160,25,how deep can be drill for deep underwater,500 foot,`` expansion deepwater drilling happening despite accident offshore field ... ``,0,0.34300875245230794
161,25,how deep can be drill for deep underwater,500 foot,2010 large explosion occurred killing 11 worker spilling million gallon oil gulf mexico bp oil rig drilling deep water,0,0.4965751802551225
162,25,how deep can be drill for deep underwater,500 foot,`` ... despite risk deepwater drilling trend spreading mediterranean coast east africa string huge discovery natural gas ``,0,0.4071757376009342
163,25,how deep can be drill for deep underwater,500 foot,`` reason resumption drilling analyst say continuing high demand energy worldwide ``,0,0.3317885215854814
164,25,how deep can be drill for deep underwater,500 foot,america need oil almost necessary face high risk come deepwater drilling order american continue carry everyday life,0,0.43788137054379067
165,25,how deep can be drill for deep underwater,500 foot,`` energy department recently projected gulf oil production would expand 2011 level 1.3 million barrel day still nearly quarter total domestic production 2 million barrel day 2020 ``,0,0.5102545926760513
166,25,how deep can be drill for deep underwater,500 foot,deepwater drilling affect environment negative positive way,0,0.3041485993099397
167,25,how deep can be drill for deep underwater,500 foot,although deepwater drilling rarely cause oil spill still hazardous possible outcome,0,0.34985260958138753
168,25,how deep can be drill for deep underwater,500 foot,oil spill result oil sinking bottom ocean smothering plant life leaving fish without food shelter survive,0,0.4257497843818697
169,25,how deep can be drill for deep underwater,500 foot,hand deepwater drilling effect environment positive way,0,0.36725400774899736
170,25,how deep can be drill for deep underwater,500 foot,time deepwater oil well use anymore plant grow around well making cave cavern like shelter ideal animal thrive,0,0.4415078113163484
171,25,how deep can be drill for deep underwater,500 foot,deepwater drilling also let u u see depth ocean floor hardly ever seen,0,0.44178466577488545
172,25,how deep can be drill for deep underwater,500 foot,`` camera rover bottom well record footage take photo rare fish natural habitat giving scientist look animal rarely seen `` chevron corporation ``,0,0.41427621081137855
173,26,how old was monica lewinsky during the affair,monica samille lewinsky born july 23 1973 american woman united state president bill clinton admitted `` improper relationship `` worked white house 1995 1996,monica samille lewinsky born july 23 1973 american woman united state president bill clinton admitted `` improper relationship `` worked white house 1995 1996,1,1.0
174,26,how old was monica lewinsky during the affair,monica samille lewinsky born july 23 1973 american woman united state president bill clinton admitted `` improper relationship `` worked white house 1995 1996,affair repercussion included clinton 's impeachment became known lewinsky scandal,0,0.6555224522366015
175,27,how long was frank sinatra famous,early mid-1940s,francis albert `` frank `` sinatra december 12 1915 - may 14 1998 american singer film actor,0,0.2010059339779765
176,27,how long was frank sinatra famous,early mid-1940s,beginning musical career swing era harry james tommy dorsey sinatra found unprecedented success solo artist early mid-1940s signed columbia record 1943,1,0.5835254745475084
177,27,how long was frank sinatra famous,early mid-1940s,idol `` bobby soxers `` released first album voice frank sinatra 1946,0,0.2336443498364055
178,27,how long was frank sinatra famous,early mid-1940s,professional career stalled 1950s reborn 1953 academy award best supporting actor performance eternity,0,0.3978379703096078
179,27,how long was frank sinatra famous,early mid-1940s,signed capitol record 1953 released several critically lauded album wee small hour song swingin lover come fly lonely nice 'n easy,0,0.33936644860369186
180,27,how long was frank sinatra famous,early mid-1940s,sinatra left capitol found record label reprise record 1961 finding success album ring-a-ding-ding sinatra sand francis albert sinatra antonio carlos jobim toured internationally founding member rat pack fraternized celebrity statesman including john f. kennedy,0,0.3063557064804907
181,27,how long was frank sinatra famous,early mid-1940s,sinatra turned 50 1965 recorded retrospective september year starred emmy -winning television special frank sinatra man music scored hit `` stranger night `` `` way ``,0,0.2415676807367493
182,27,how long was frank sinatra famous,early mid-1940s,sale music dwindling appearing several poorly received film sinatra retired first time 1971,0,0.4419999194002335
183,27,how long was frank sinatra famous,early mid-1940s,two year later however came retirement 1973 recorded several album scoring top 40 hit `` theme new york new york `` 1980,0,0.31887186890822805
184,27,how long was frank sinatra famous,early mid-1940s,using la vega show home base toured within united state internationally short time death 1998,0,0.3274208140737564
185,27,how long was frank sinatra famous,early mid-1940s,sinatra also forged highly successful career film actor,0,0.3580009849796545
186,27,how long was frank sinatra famous,early mid-1940s,winning best supporting actor 1953 also garnered nomination best actor man golden arm critical acclaim performance manchurian candidate,0,0.29199204680668683
187,27,how long was frank sinatra famous,early mid-1940s,also starred musical high society pal joey guy doll town,0,0.2824592171102521
188,27,how long was frank sinatra famous,early mid-1940s,sinatra honored kennedy center honor 1983 awarded presidential medal freedom ronald reagan 1985 congressional gold medal 1997,0,0.24832059965669817
189,27,how long was frank sinatra famous,early mid-1940s,recipient eleven grammy award including grammy trustee award grammy legend award grammy lifetime achievement award,0,0.14765709429405213
190,27,how long was frank sinatra famous,early mid-1940s,sinatra also one world ' best-selling artist time sold 150 million copy worldwide,0,0.21133782280995558
191,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody bind specific antigen interaction similar lock key,0,0.8360144341749317
192,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody ab also known immunoglobulin ig large y-shaped protein produced b-cells used immune system identify neutralize foreign object bacteria virus,1,0.8771775518956241
193,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody recognizes unique part foreign target called antigen,1,0.8374161993161848
194,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,tip `` `` antibody contains paratope structure analogous lock specific one particular epitope similarly analogous key antigen allowing two structure bind together precision,1,0.8086289440562872
195,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,1,1.0
196,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,production antibody main function humoral immune system,0,0.8254622729696012
197,28,how are antibodies used in,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival,antibody secreted type white blood cell called plasma cell,0,0.8001682871461616
